,Value,Period,StartDate,EndDate
0,15.0,2011/2012_Apr,2011-04-01,2011-04-30
3,9.0,2011/2012_May,2011-05-01,2011-05-31
4,12.0,2011/2012_Jun,2011-06-01,2011-06-30
6,16.0,2011/2012_Jul,2011-07-01,2011-07-31
7,13.0,2011/2012_Aug,2011-08-01,2011-08-31
8,21.0,2011/2012_Sep,2011-09-01,2011-09-30
9,18.0,2011/2012_Oct,2011-10-01,2011-10-31
11,13.0,2011/2012_Nov,2011-11-01,2011-11-30
12,27.0,2011/2012_Dec,2011-12-01,2011-12-31
14,52.0,2011/2012_Jan,2012-01-01,2012-01-31
15,36.0,2011/2012_Feb,2012-02-01,2012-02-29
16,46.0,2011/2012_Mar,2012-03-01,2012-03-31
18,31.0,2012/2013_Apr,2012-04-01,2012-04-30
20,26.0,2012/2013_May,2012-05-01,2012-05-31
21,22.0,2012/2013_Jun,2012-06-01,2012-06-30
23,33.0,2012/2013_Jul,2012-07-01,2012-07-31
24,37.0,2012/2013_Aug,2012-08-01,2012-08-31
25,21.0,2012/2013_Sep,2012-09-01,2012-09-30
27,46.0,2012/2013_Oct,2012-10-01,2012-10-31
28,50.0,2012/2013_Nov,2012-11-01,2012-11-30
29,57.0,2012/2013_Dec,2012-12-01,2012-12-31
30,50.0,2012/2013_Jan,2013-01-01,2013-01-31
32,47.0,2012/2013_Feb,2013-02-01,2013-02-28
33,43.0,2012/2013_Mar,2013-03-01,2013-03-31
36,36.0,2013/2014_Apr,2013-04-01,2013-04-30
37,52.0,2013/2014_May,2013-05-01,2013-05-31
38,60.0,2013/2014_Jun,2013-06-01,2013-06-30
40,63.0,2013/2014_Jul,2013-07-01,2013-07-31
41,38.0,2013/2014_Aug,2013-08-01,2013-08-31
42,44.0,2013/2014_Sep,2013-09-01,2013-09-30
43,53.0,2013/2014_Oct,2013-10-01,2013-10-31
45,69.0,2013/2014_Nov,2013-11-01,2013-11-30
46,66.0,2013/2014_Dec,2013-12-01,2013-12-31
47,50.0,2013/2014_Jan,2014-01-01,2014-01-31
49,47.0,2013/2014_Feb,2014-02-01,2014-02-28
50,43.0,2013/2014_Mar,2014-03-01,2014-03-31
52,51.0,2014/2015_Apr,2014-04-01,2014-04-30
54,52.0,2014/2015_May,2014-05-01,2014-05-31
55,46.0,2014/2015_Jun,2014-06-01,2014-06-30
57,59.0,2014/2015_Jul,2014-07-01,2014-07-31
58,59.0,2014/2015_Aug,2014-08-01,2014-08-31
59,82.0,2014/2015_Sep,2014-09-01,2014-09-30
60,56.0,2014/2015_Oct,2014-10-01,2014-10-31
62,74.0,2014/2015_Nov,2014-11-01,2014-11-30
63,50.0,2014/2015_Dec,2014-12-01,2014-12-31
64,62.0,2014/2015_Jan,2015-01-01,2015-01-31
66,54.0,2014/2015_Feb,2015-02-01,2015-02-28
67,70.0,2014/2015_Mar,2015-03-01,2015-03-31
70,66.0,2015/2016_Apr,2015-04-01,2015-04-30
71,75.0,2015/2016_May,2015-05-01,2015-05-31
72,54.0,2015/2016_Jun,2015-06-01,2015-06-30
74,66.0,2015/2016_Jul,2015-07-01,2015-07-31
75,,2015/2016_Aug,2015-08-01,2015-08-31
76,,2015/2016_Sep,2015-09-01,2015-09-30
78,,2015/2016_Oct,2015-10-01,2015-10-31
79,,2015/2016_Nov,2015-11-01,2015-11-30
80,,2015/2016_Dec,2015-12-01,2015-12-31
81,,2015/2016_Jan,2016-01-01,2016-01-31
83,,2015/2016_Feb,2016-02-01,2016-02-29
84,,2015/2016_Mar,2016-03-01,2016-03-31
90,,2018/2019_Apr,2018-04-01,2018-04-30
93,,2018/2019_May,2018-05-01,2018-05-31
94,,2018/2019_Jun,2018-06-01,2018-06-30
95,,2018/2019_Jul,2018-07-01,2018-07-31
97,,2018/2019_Aug,2018-08-01,2018-08-31
98,,2018/2019_Sep,2018-09-01,2018-09-30
99,,2018/2019_Oct,2018-10-01,2018-10-31
101,,2018/2019_Nov,2018-11-01,2018-11-30
102,,2018/2019_Dec,2018-12-01,2018-12-31
103,,2018/2019_Jan,2019-01-01,2019-01-31
105,,2018/2019_Feb,2019-02-01,2019-02-28
106,,2018/2019_Mar,2019-03-01,2019-03-31
